TransactionAmount,TransactionType,Location,Channel,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,CustomerOccupation
503.76,Debit,Los Angeles,Online,22,35,1,447.82,Student
143.03,Debit,San Antonio,ATM,63,147,1,7981.45,Retired
1045.22,Debit,Columbus,ATM,53,73,1,1829.9,Retired
245.54,Debit,New York,ATM,25,180,1,985.06,Student
254.37,Credit,Dallas,Online,51,174,1,8849.26,Engineer
213.76,Credit,Dallas,ATM,78,282,1,3528.72,Retired
327.86,Debit,Fresno,Online,40,104,1,480.16,Engineer
2.5,Debit,San Diego,Online,47,107,1,12145.27,Doctor
300.08,Credit,Austin,Online,68,47,1,13546.75,Doctor
56.98,Credit,Oklahoma City,ATM,43,122,2,5688.37,Engineer
407.65,Debit,Boston,Online,26,62,1,8346.64,Engineer
115.83,Debit,Fresno,Branch,39,167,1,6481.04,Engineer
53.57,Debit,Houston,ATM,69,121,1,1651.33,Retired
63.34,Credit,Detroit,Online,46,165,1,11174.94,Doctor
317.87,Debit,Detroit,Online,27,91,1,145.5,Student
331.65,Debit,Portland,Online,41,61,1,4172.57,Engineer
5.04,Debit,Washington,ATM,56,41,1,5558.36,Retired
214.54,Credit,Detroit,Online,70,247,1,11151.53,Doctor
598.81,Debit,Philadelphia,Branch,57,158,1,1415.52,Doctor
841.28,Debit,Tucson,Online,26,80,1,1103.64,Student
38.15,Debit,Mesa,Online,26,108,1,303.68,Student
1036.66,Debit,San Antonio,Branch,58,144,1,5541.57,Doctor
124.72,Debit,Oklahoma City,Branch,33,105,1,6309.8,Engineer
302.45,Credit,San Antonio,Branch,78,40,1,5133.61,Retired
208.04,Debit,Louisville,Online,47,273,1,9344.98,Engineer
5.77,Credit,Los Angeles,Branch,23,254,1,1117.97,Student
381.33,Debit,Albuquerque,ATM,56,75,1,11835.35,Doctor
16.16,Debit,Milwaukee,ATM,50,124,1,14401.17,Doctor
486.08,Debit,Oklahoma City,Online,18,68,1,1748.69,Student
336.39,Debit,San Antonio,Branch,21,18,1,1000.46,Student
997.43,Debit,Seattle,Online,69,118,1,6810.05,Doctor
234.57,Debit,Chicago,Online,23,120,1,263.98,Student
6,Debit,Chicago,Online,30,246,1,5442.76,Doctor
1049.92,Debit,Detroit,ATM,80,21,1,2037.85,Retired
227.14,Debit,Charlotte,ATM,18,294,1,341.94,Student
233.74,Credit,Oklahoma City,Online,66,17,1,1066.59,Retired
113.02,Credit,Jacksonville,Branch,69,166,1,6077.96,Retired
45.85,Debit,Los Angeles,ATM,20,92,1,1659.15,Student
973.39,Debit,Sacramento,Branch,77,296,1,2042.22,Retired
514.95,Debit,New York,Online,41,142,5,421.93,Doctor
415.5,Debit,Memphis,ATM,66,141,1,10113.66,Doctor
265.76,Debit,Philadelphia,Online,54,92,1,4446.17,Retired
69.4,Debit,Virginia Beach,Online,80,113,1,6452.77,Retired
332.93,Credit,Albuquerque,Branch,35,293,1,2788.2,Engineer
267.9,Debit,San Antonio,Online,20,160,1,596.16,Student
496.03,Debit,San Francisco,Branch,61,265,1,12904.66,Doctor
376.26,Debit,Tucson,ATM,37,245,1,9062.4,Engineer
83.02,Credit,Seattle,Online,36,171,1,9009.56,Engineer
93.26,Credit,New York,Online,20,72,1,1152.2,Student
803.37,Credit,Memphis,Branch,68,129,1,12168.37,Doctor
35.76,Debit,Charlotte,Branch,23,122,1,611.86,Student
28.53,Debit,Washington,Online,62,99,1,8670.53,Doctor
139.53,Credit,Louisville,Online,53,177,1,10098.86,Doctor
307.57,Debit,Detroit,Branch,33,285,1,5307.74,Doctor
60.65,Credit,Tucson,Branch,56,53,1,1047.28,Retired
74.86,Debit,Nashville,Branch,70,125,1,6921.48,Doctor
117.97,Debit,Kansas City,Branch,51,137,1,1475.46,Retired
231.91,Debit,Memphis,ATM,34,165,1,112.76,Engineer
126.21,Debit,Baltimore,Branch,75,268,1,5669.66,Retired
506.28,Credit,Chicago,Online,53,162,2,1309.95,Retired
304.35,Debit,Houston,Branch,31,36,1,4057.1,Engineer
281.85,Debit,Detroit,ATM,22,109,1,1585.98,Student
777.88,Debit,Houston,Branch,31,17,1,6825.55,Engineer
119.18,Debit,Los Angeles,Branch,56,96,1,5516.5,Retired
177.19,Debit,Chicago,Online,76,43,1,5343.3,Retired
260.88,Debit,Denver,Branch,22,36,1,903.05,Student
169.47,Debit,Chicago,Online,24,19,1,1806.16,Student
73.23,Debit,Portland,Branch,26,14,1,787.74,Student
1362.55,Debit,El Paso,ATM,29,106,1,2429.68,Engineer
792.57,Debit,Baltimore,ATM,19,164,1,770.37,Student
237.06,Debit,Phoenix,Online,71,46,1,1182.77,Retired
34.17,Credit,Philadelphia,Online,54,54,1,726.55,Engineer
740.25,Debit,Philadelphia,Online,41,123,1,14464.3,Doctor
453.54,Debit,Albuquerque,ATM,58,82,1,12046.3,Doctor
300.47,Debit,Jacksonville,Branch,73,100,1,7885.64,Retired
110.93,Credit,Virginia Beach,Branch,19,201,1,1952.35,Student
201.69,Debit,Las Vegas,ATM,59,299,1,7328.52,Doctor
399.21,Debit,Portland,ATM,59,109,1,3210.39,Engineer
1041.88,Debit,Jacksonville,Online,78,57,1,5726.2,Retired
630.36,Debit,Mesa,ATM,62,52,1,1363.65,Retired
10.94,Credit,Philadelphia,ATM,60,245,1,1241.99,Engineer
215.9,Debit,Los Angeles,ATM,38,235,1,7873.28,Doctor
1422.55,Debit,Washington,Branch,79,165,1,5674.32,Retired
226.37,Credit,Louisville,Branch,49,141,1,9840.04,Doctor
444.89,Credit,Las Vegas,Branch,43,101,1,10328.23,Doctor
280.57,Credit,Virginia Beach,Online,25,24,1,293.24,Student
488.54,Debit,Jacksonville,Branch,52,132,1,7486.63,Engineer
3.3,Credit,Los Angeles,Branch,50,131,1,11385.37,Doctor
199.39,Debit,Colorado Springs,Branch,69,165,1,7264.79,Retired
20.36,Debit,Tucson,Branch,62,75,1,2762.48,Retired
113.64,Debit,Detroit,Online,62,32,1,6675.03,Retired
493.11,Debit,Colorado Springs,Branch,53,236,1,7432.99,Retired
307.41,Debit,Los Angeles,ATM,19,14,1,1057,Student
11.18,Debit,Atlanta,Online,43,161,1,5956.89,Doctor
313.82,Debit,Tucson,Branch,59,151,1,7261.59,Engineer
51,Debit,Seattle,Branch,64,107,1,4943.16,Retired
140.98,Debit,Memphis,Branch,60,100,1,8127.48,Engineer
288.04,Debit,Denver,ATM,68,63,1,1748.02,Retired
800.55,Debit,Oklahoma City,ATM,31,108,1,9660.22,Engineer
485.54,Debit,Houston,ATM,46,143,1,6371.51,Engineer
521.15,Debit,Kansas City,ATM,54,214,1,9442.47,Doctor
321.79,Credit,Raleigh,ATM,63,61,1,5959.2,Retired
304.93,Debit,Portland,ATM,65,158,1,13531.22,Doctor
432.08,Debit,El Paso,ATM,40,145,1,11500.62,Doctor
694.2,Debit,Milwaukee,ATM,61,72,1,1389.37,Retired
116.86,Debit,Louisville,ATM,55,171,1,6706.56,Engineer
386.81,Credit,Detroit,Online,57,149,1,7175.29,Doctor
74.88,Debit,Atlanta,ATM,25,202,1,420.67,Student
195.76,Debit,Philadelphia,Branch,75,99,1,7323.53,Retired
134.7,Debit,Fort Worth,ATM,50,106,1,8395.85,Doctor
890.24,Credit,Las Vegas,Online,33,161,1,5140.93,Engineer
361.27,Debit,Omaha,ATM,63,180,1,7945.57,Doctor
131.56,Debit,Charlotte,Branch,44,42,1,5873.54,Doctor
485.51,Credit,Milwaukee,Online,76,37,1,3074.45,Retired
547.87,Debit,Columbus,ATM,64,131,1,6155.76,Retired
457.3,Debit,Virginia Beach,Online,28,15,1,8318.29,Engineer
506.24,Debit,Chicago,ATM,58,64,1,230.09,Engineer
486.59,Debit,Indianapolis,Branch,57,119,1,2513.56,Retired
163.68,Debit,San Diego,Branch,41,292,1,10090.05,Doctor
581.65,Debit,Boston,ATM,22,176,1,480.19,Student
52.01,Debit,Mesa,ATM,48,85,1,1120.88,Doctor
630.24,Debit,Boston,ATM,21,62,1,370.81,Student
523.74,Debit,Oklahoma City,ATM,43,159,1,13498.55,Doctor
705.6,Debit,Phoenix,Branch,40,124,3,14804.7,Doctor
217.5,Credit,Denver,Branch,46,35,1,3057.4,Engineer
91.48,Debit,Fort Worth,ATM,51,141,1,14942.78,Doctor
5.25,Debit,San Jose,ATM,39,49,1,14143.32,Doctor
54.03,Credit,Milwaukee,ATM,56,161,1,6736.3,Retired
736.73,Debit,Memphis,Branch,48,10,1,3313.07,Engineer
368.91,Debit,Virginia Beach,Branch,54,14,1,829.71,Doctor
33.06,Credit,Fort Worth,Online,53,170,1,1540.87,Retired
66.5,Credit,Louisville,Online,32,144,1,6820.23,Engineer
177.08,Debit,Las Vegas,Online,35,85,1,13475.14,Doctor
588.54,Debit,Portland,Branch,32,130,1,714.45,Engineer
173.5,Debit,Nashville,ATM,21,282,1,1306.91,Student
78.33,Credit,Memphis,Online,56,189,1,7255.33,Engineer
40.66,Debit,Louisville,Branch,59,156,1,1153.84,Retired
97.22,Credit,Atlanta,Branch,77,55,1,6647.73,Retired
34.07,Debit,Philadelphia,Branch,22,81,1,8709.77,Student
492.06,Debit,Fresno,Online,23,74,1,857.9,Student
842.01,Credit,Virginia Beach,Online,53,185,1,509.45,Doctor
73.55,Debit,Atlanta,ATM,51,158,1,2812.06,Engineer
760.53,Debit,Phoenix,Online,57,118,1,6179.91,Engineer
273.08,Credit,Houston,Branch,26,134,1,6609.3,Engineer
371.69,Debit,San Francisco,Branch,67,143,1,3484.32,Retired
218.96,Debit,Seattle,ATM,18,13,1,754.21,Student
227.39,Debit,Atlanta,Online,18,65,1,751.09,Student
237.99,Credit,Kansas City,Branch,39,86,1,8510.09,Doctor
186.6,Debit,Washington,Online,58,13,1,1508.72,Doctor
341.15,Debit,San Jose,Online,18,148,1,511.37,Student
434.58,Debit,Memphis,ATM,59,215,1,12648.32,Doctor
312.88,Credit,Portland,Branch,54,44,1,233.21,Engineer
75.15,Debit,Boston,ATM,23,154,1,1092.92,Student
23.3,Debit,Los Angeles,ATM,59,161,1,6711.15,Engineer
47.38,Credit,Seattle,Online,25,61,1,459.37,Student
512.81,Debit,Sacramento,Branch,79,30,1,6994.34,Retired
488.15,Debit,Louisville,Branch,43,168,1,7071.09,Engineer
12.82,Debit,Fort Worth,ATM,44,156,1,9045.19,Engineer
66.9,Credit,Charlotte,Online,79,129,4,5238.71,Retired
535.91,Debit,Las Vegas,Online,43,22,1,9642.12,Engineer
270.72,Credit,Washington,Online,26,53,1,6263.96,Engineer
97.98,Debit,Denver,Branch,72,18,1,7460.33,Retired
196.08,Debit,San Francisco,Online,61,98,1,4233.82,Retired
251.18,Debit,San Jose,ATM,42,246,1,8303.9,Engineer
44.52,Debit,El Paso,Online,28,205,1,314.28,Student
178.87,Debit,Baltimore,Online,35,180,1,5241.23,Doctor
1176.28,Credit,Kansas City,ATM,54,174,5,323.69,Engineer
386.68,Debit,New York,Branch,46,128,1,6863.06,Doctor
167.14,Debit,Denver,Online,76,20,1,3877.73,Retired
345.22,Debit,Fresno,Branch,69,253,1,4046.58,Retired
74.85,Debit,Raleigh,ATM,72,117,1,2409.73,Retired
671.73,Debit,Washington,Branch,58,54,1,5211.88,Engineer
255.04,Debit,Seattle,ATM,45,152,1,6217.86,Engineer
45.77,Debit,Philadelphia,Online,25,109,1,5978.12,Student
329.69,Credit,San Antonio,Online,26,66,1,1671.66,Student
362.04,Credit,Philadelphia,Branch,58,198,2,8421.88,Doctor
11.92,Debit,San Diego,Branch,53,52,1,14611.9,Doctor
47.42,Debit,San Diego,ATM,64,28,1,8253.52,Doctor
35.99,Debit,Miami,Branch,63,129,1,4489.79,Retired
151.19,Credit,New York,Branch,37,96,1,11903.82,Doctor
242.62,Credit,San Francisco,Online,22,234,1,483.02,Student
48.72,Debit,Virginia Beach,Branch,21,17,1,816.08,Student
43.46,Debit,Boston,ATM,25,80,1,578.06,Student
1036.21,Debit,Omaha,Online,25,126,1,477.3,Student
443.79,Debit,Las Vegas,ATM,53,87,1,3133.85,Retired
365.14,Debit,Dallas,Online,68,57,1,5894.09,Retired
757.41,Debit,Los Angeles,ATM,22,37,1,9532.42,Student
20.54,Debit,Fort Worth,Branch,51,72,1,5327.03,Engineer
475.36,Debit,Phoenix,ATM,34,105,1,2000.6,Engineer
34.74,Debit,San Francisco,ATM,56,24,1,6827.57,Retired
689.54,Debit,Oklahoma City,Branch,27,93,1,1633.76,Student
211.18,Debit,Washington,ATM,73,90,1,4069.17,Retired
211.36,Credit,Fort Worth,Branch,51,286,1,7943.47,Engineer
744.41,Credit,Houston,Online,39,107,1,8842.47,Engineer
61.43,Debit,Phoenix,Online,24,170,1,1882.77,Student
167.44,Debit,Mesa,Branch,37,82,1,12526.71,Doctor
361.46,Debit,Nashville,Online,21,83,1,4737.84,Student
378.85,Debit,Virginia Beach,Branch,78,126,1,2300.53,Retired
241.11,Debit,Columbus,Branch,30,55,1,12385.05,Doctor
131.93,Credit,Fort Worth,Branch,31,13,1,4547.06,Engineer
20.28,Debit,Oklahoma City,Online,36,213,1,2047.83,Engineer
415.88,Debit,San Diego,Branch,70,170,1,10008.33,Doctor
49.99,Debit,Omaha,ATM,62,139,1,2299.64,Retired
1221.65,Debit,Denver,Online,27,153,1,243.92,Student
100.66,Debit,Dallas,Branch,50,144,1,14473.33,Doctor
485.54,Debit,Louisville,Online,19,148,1,1533.32,Student
321.15,Debit,Los Angeles,Branch,46,179,1,7005.05,Doctor
711.3,Debit,San Jose,Branch,21,51,1,955.4,Student
12.23,Debit,Houston,ATM,42,139,1,7844.88,Engineer
350.94,Debit,Colorado Springs,ATM,20,64,1,221.56,Student
301.85,Debit,Columbus,Online,54,25,1,6586.19,Engineer
29.34,Debit,Louisville,Online,65,30,1,3944.82,Retired
231.71,Debit,Raleigh,Branch,27,148,1,1127.98,Student
179.43,Debit,Oklahoma City,ATM,58,244,1,2626.63,Retired
36.71,Debit,Jacksonville,Branch,48,55,1,6459.38,Doctor
138.12,Credit,Los Angeles,Branch,53,281,1,1649.69,Doctor
233.24,Debit,Louisville,ATM,33,72,1,6939.23,Engineer
609.14,Debit,Tucson,ATM,39,177,1,9033.87,Engineer
436.64,Debit,Los Angeles,Branch,31,111,1,14365.18,Doctor
870.43,Debit,Los Angeles,Branch,29,55,1,10115.18,Doctor
354.4,Debit,Chicago,ATM,74,128,1,7358.65,Retired
22.63,Debit,Kansas City,Online,53,112,1,4438.03,Engineer
182.19,Debit,Mesa,Branch,26,53,1,1176.1,Student
126.81,Debit,Philadelphia,Branch,26,290,1,5427.98,Engineer
288.17,Debit,Virginia Beach,Online,37,50,1,3653.11,Engineer
118.77,Debit,Atlanta,Branch,55,123,1,2104.82,Engineer
651.82,Debit,Indianapolis,ATM,21,166,1,1802.77,Student
66.65,Debit,Detroit,ATM,37,33,1,3559.96,Engineer
98.53,Debit,Denver,Branch,69,166,1,3564.8,Retired
138.95,Debit,Washington,Online,71,30,1,6752.92,Retired
33.89,Debit,Nashville,Branch,26,177,1,1444.75,Student
23.71,Debit,Atlanta,Branch,58,164,1,10788.89,Doctor
1830,Debit,San Antonio,Online,55,238,1,2235.7,Engineer
26.06,Debit,San Diego,ATM,65,283,1,12893.63,Doctor
17.07,Debit,Los Angeles,Branch,27,44,1,2798.15,Engineer
703.89,Debit,San Antonio,Online,46,62,1,3583.67,Engineer
1271.9,Debit,Houston,ATM,47,155,1,2120.8,Engineer
26.55,Debit,Houston,ATM,77,228,1,3085.38,Retired
147.4,Debit,San Jose,Branch,42,259,1,6797.71,Engineer
202.11,Debit,Memphis,ATM,27,18,1,746.47,Student
308.42,Debit,Nashville,Branch,75,39,1,5427.81,Retired
11.18,Debit,Miami,ATM,53,144,1,7467.3,Engineer
294.15,Debit,Fresno,Online,38,136,1,6362.16,Engineer
29.58,Debit,Colorado Springs,Branch,54,121,1,8345.26,Engineer
139.45,Debit,Boston,Online,27,31,1,1305.76,Student
432.63,Debit,Colorado Springs,ATM,29,137,1,13648.36,Doctor
131.43,Debit,Charlotte,Online,43,65,1,1337.5,Doctor
516.72,Debit,Mesa,ATM,42,128,1,2015.69,Engineer
121.82,Debit,Colorado Springs,Online,69,123,3,8354.54,Doctor
374.5,Credit,San Francisco,Branch,26,178,1,1671.51,Student
166.13,Debit,Omaha,ATM,68,227,1,11822.53,Doctor
626.9,Debit,Chicago,ATM,23,146,1,587.11,Student
466.85,Debit,Austin,Branch,56,165,1,5422.53,Retired
788.84,Debit,Phoenix,Online,58,231,1,1913.73,Retired
873.65,Credit,Oklahoma City,Online,37,59,1,12139.83,Doctor
525.28,Debit,Colorado Springs,ATM,69,134,1,4693.6,Retired
110.17,Debit,Raleigh,ATM,30,137,1,464.2,Engineer
632.69,Debit,Denver,ATM,80,76,1,4363.74,Retired
124.35,Debit,Oklahoma City,ATM,72,90,1,3319.76,Retired
43.85,Debit,Fresno,ATM,62,122,1,4356.98,Retired
283.81,Debit,San Diego,Branch,28,29,1,1519.35,Student
168.53,Debit,San Francisco,ATM,71,112,1,5962.58,Retired
218.59,Credit,Denver,Branch,40,123,1,6699.23,Engineer
132.84,Debit,Oklahoma City,ATM,21,143,1,822.73,Student
157.37,Credit,Dallas,Branch,42,289,1,13964.31,Doctor
144.77,Debit,Albuquerque,Online,20,159,1,867.32,Student
643.22,Debit,Atlanta,ATM,64,93,1,1035.86,Doctor
1392.54,Debit,El Paso,Branch,41,297,1,13347.69,Doctor
208.07,Debit,Oklahoma City,Online,32,36,1,8478.9,Doctor
94.3,Debit,Phoenix,Branch,57,57,1,11088.95,Doctor
295.5,Debit,Mesa,ATM,59,36,1,6280.66,Retired
30.23,Debit,Austin,ATM,44,99,1,481.13,Doctor
112.05,Credit,Phoenix,ATM,26,159,1,1122.88,Student
180.24,Debit,Phoenix,Branch,58,144,1,8431.23,Engineer
13.71,Credit,Denver,Online,38,148,1,8342.79,Engineer
96.54,Debit,New York,Branch,58,95,1,7182.22,Retired
79.35,Debit,Los Angeles,Online,67,70,1,1692.15,Retired
101.04,Debit,San Antonio,ATM,27,160,1,1695.57,Student
74.42,Debit,El Paso,Online,49,68,1,6264.21,Engineer
39.66,Debit,Virginia Beach,Branch,52,169,1,8497.34,Engineer
99.36,Debit,Seattle,ATM,40,46,1,1272.12,Doctor
123.85,Debit,Las Vegas,Online,56,244,1,3959.62,Engineer
426.93,Debit,Omaha,ATM,19,248,1,476.19,Student
133.73,Credit,San Jose,Online,25,123,1,1872.22,Student
222.39,Debit,Virginia Beach,Online,49,73,1,3117.39,Engineer
215.94,Credit,Virginia Beach,Online,22,140,1,1841.69,Student
6.3,Debit,Columbus,Branch,80,283,5,7697.68,Retired
826.23,Debit,Colorado Springs,ATM,29,209,1,7580.59,Doctor
416.37,Debit,Columbus,Online,35,67,1,7936.91,Engineer
131.46,Debit,Charlotte,Branch,67,258,1,6642.33,Retired
202.86,Credit,Memphis,Branch,61,149,1,7642.25,Doctor
268.39,Debit,Miami,ATM,26,171,1,136.74,Student
194.85,Debit,Jacksonville,Online,23,130,4,319.84,Student
137.35,Credit,Sacramento,Online,40,220,1,12662.66,Doctor
712.75,Debit,Philadelphia,Branch,44,25,1,8126.06,Doctor
353.82,Debit,Milwaukee,ATM,42,143,1,705.75,Doctor
507.25,Debit,Washington,Branch,73,143,1,5331.57,Retired
212.74,Debit,Seattle,Branch,27,128,1,7645.47,Engineer
364.42,Debit,Colorado Springs,ATM,51,146,1,8119.73,Engineer
195.12,Debit,Louisville,ATM,46,144,1,6101.15,Doctor
230.61,Debit,Raleigh,Branch,80,204,1,2561.42,Retired
739.28,Credit,Tucson,Branch,58,47,1,11905.64,Doctor
390.35,Credit,Omaha,ATM,64,61,1,7095.88,Doctor
242.03,Debit,Dallas,Online,58,124,1,4382.73,Engineer
242.39,Credit,San Antonio,ATM,18,271,1,1328.73,Student
135.03,Debit,San Francisco,ATM,23,180,1,1278,Student
83.5,Debit,Dallas,Branch,61,91,5,1749.79,Retired
193.54,Debit,Oklahoma City,Branch,80,267,1,2929.51,Retired
617.36,Debit,Kansas City,Branch,29,61,1,8926.38,Engineer
775.23,Credit,Albuquerque,Online,59,38,1,5977.59,Doctor
266.57,Debit,El Paso,ATM,72,100,1,7676.92,Retired
153.4,Debit,Mesa,ATM,45,144,1,4657.7,Engineer
946.94,Debit,Charlotte,Branch,53,251,1,5579.11,Retired
5.12,Debit,New York,Branch,34,90,1,3293.01,Engineer
119.11,Debit,Detroit,ATM,57,131,1,7998.25,Engineer
1096.7,Debit,Colorado Springs,Online,24,147,1,1093.89,Student
119.72,Debit,Tucson,Branch,30,123,1,3435.34,Engineer
107.4,Debit,Virginia Beach,Online,58,32,1,344.07,Doctor
